TEACHID,PERIOD,MONTH,DAY,YEAR,time,timepoint,STUDID,ENJOY,FEELGD,CONCEN,SUCCEED,LEARN,CONTROL,WRKHARD,GOODGR,OWNEXP,TCHEXP,PAREXP,CHALL,SKILL,IMPTYOU,IMPTGOAL,SOMELSE,INTEREST,HAPPY,FRUSTR,STRESS,ANGRY,EXCITED,PROUD,BORED,COMPET,COOPER,USEFUL,USE,group,brain,class_type,grade,ESF_counts,Uti7T,Uti7S,Uti79TS,Uti7T9B,Use_r,Uful_r,Ugroup,seven,t_days,timepoint_mean,t_week,form_set,beh_enga,cog_enga,aff_enga,Date,beep_ID
10,4,12,12,11,3,9,1170744,3,2,2,3,1,3,3,3,1,3,3,0,2,2,1,0,3,2,0,0,0,2,2,0,0,0,1,3,4,0,NaN,7,1,0,0,0,0,0,1,0,1,83,9,8,1,2.5,1.5,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170794,1,0,2,1,1,1,1,1,2,2,2,0,2,0,1,3,0,0,0,0,0,0,0,0,1,1,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,1.5,0.5,0.5,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170846,2,2,2,2,1,2,2,3,2,3,2,0,2,1,0,2,2,2,0,1,0,0,0,1,0,0,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2,0.5,2,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170859,3,3,2,3,2,3,1,2,3,2,3,2,3,2,2,3,0,3,0,3,0,0,3,3,0,0,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,1.5,2,1.5,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170861,3,3,2,3,1,2,2,3,3,3,3,2,3,1,0,3,3,1,1,1,1,1,2,3,2,1,2,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2,0.5,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170868,2,2,2,2,1,2,3,3,3,3,3,0,1,3,0,1,2,2,1,1,0,0,0,1,0,2,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2.5,1.5,2,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170871,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,3,2,0,0,0,0,0,0,0,0,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,83,9,8,1,3,1.5,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170908,3,3,1,3,1,3,NaN,3,3,3,3,0,2,3,3,1,3,3,0,0,0,0,1,NaN,NaN,1,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,1,3,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170921,1,2,2,2,2,2,2,3,3,3,3,0,3,2,2,1,2,1,1,1,0,0,0,1,0,0,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,83,9,8,1,2,2,1.5,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170947,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,NaN,3,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,3,2,2.5,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170997,3,3,3,2,1,1,2,3,NaN,NaN,NaN,1,2,2,1,0,3,3,0,0,0,2,2,0,0,2,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2.5,1.5,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1171083,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,3,0,3,3,0,0,0,0,3,0,3,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,83,9,8,1,3,3,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1171093,3,3,3,3,2,3,3,3,3,3,3,1,1,3,1,0,3,3,2,2,0,3,3,0,0,3,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,3,2,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1171098,3,3,2,3,2,2,2,3,3,3,3,1,3,3,3,0,3,2,0,0,0,1,2,0,0,2,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,83,9,8,1,2,3,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1171266,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,3,3,0,0,0,3,3,0,0,3,1,2,4,0,NaN,7,1,0,0,0,0,0,1,0,1,83,9,8,1,3,1,3,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1171508,3,2,2,3,0,2,2,2,2,2,2,1,3,2,0,1,1,2,1,0,0,0,1,1,0,1,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2,1,2,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1171696,3,3,3,0,0,3,0,2,2,2,2,0,1,1,1,0,0,3,0,0,0,2,2,0,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,1.5,1,1.5,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,3000762,3,1,1,2,1,1,1,3,1,1,0,1,1,1,0,0,1,3,1,0,0,0,0,NaN,1,1,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,1,0.5,2,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,3003285,3,2,3,1,2,NaN,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,1,2,2,3,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,83,9,8,1,3,3,3,2011-12-12,432011-12-1210
10,7,2,2,12,3,10,1170030,2,0,3,2,1,3,NaN,2,NaN,2,3,0,3,2,0,2,3,3,1,1,0,3,2,1,3,3,2,2,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,3,1,2.5,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170031,3,3,3,3,2,2,3,3,3,3,3,1,3,2,2,0,3,3,0,0,0,2,3,0,3,3,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,3,2,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170551,1,1,2,2,1,1,2,2,3,2,2,3,1,1,1,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,2,0,NaN,7,1,0,0,0,0,0,1,1,1,135,10,19,1,2,1,1,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170630,3,2,2,3,2,2,2,3,3,3,3,0,2,2,0,0,2,1,0,0,0,1,0,0,3,3,3,2,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,2,1,2.5,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170697,3,3,2,3,3,3,3,2,NaN,NaN,NaN,1,1,2,3,0,3,3,0,0,0,1,1,0,3,2,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,2.5,2.5,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170742,3,3,3,3,2,2,2,2,3,3,2,2,2,1,0,1,2,3,0,1,0,2,2,0,3,2,3,2,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,2.5,0.5,2.5,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170766,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,0,3,3,0,0,0,2,2,0,3,3,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,2.5,3,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170792,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,3,0,0,0,0,0,0,0,2,0,0,2,2,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,0,0.5,0,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170944,3,2,3,1,3,2,3,3,3,3,3,2,2,3,2,0,3,2,1,1,0,3,1,0,3,3,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,3,2.5,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170962,1,3,3,1,2,3,3,3,3,3,3,1,2,3,3,2,3,3,0,0,0,0,0,0,0,0,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,3,3,2,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1170994,2,3,1,1,1,1,1,3,3,3,3,2,1,1,1,3,2,1,2,3,0,2,3,3,3,3,2,3,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,1,1,2,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171071,3,3,2,3,3,1,3,3,3,2,3,2,2,3,3,2,3,3,2,2,1,3,3,0,3,3,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,2.5,3,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171084,1,1,2,1,2,1,2,2,3,3,3,2,1,1,1,3,1,1,1,0,0,0,0,3,2,2,1,1,2,0,NaN,7,1,0,0,0,0,1,1,1,1,135,10,19,1,2,1,1,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171091,3,2,2,3,3,2,3,3,3,3,3,2,1,3,3,0,3,3,1,0,0,3,2,0,3,2,1,2,2,0,NaN,7,1,0,0,0,0,0,1,1,1,135,10,19,1,2.5,3,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171094,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,1,2,2,1,0,0,0,0,0,2,2,2,2,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,2.5,3,2,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171099,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,0,1,3,0,0,0,3,3,0,3,3,3,3,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,3,2,2,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171398,0,0,1,2,2,0,2,2,3,2,3,3,0,2,1,3,1,0,3,3,3,0,0,0,0,0,1,2,2,0,NaN,7,1,0,0,0,0,0,1,1,1,135,10,19,1,1.5,1.5,0.5,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171449,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,3,3,0,0,0,0,0,1,0,3,2,2,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,3,0,3,2012-02-02,732012-02-0210
10,7,2,2,12,3,10,1171505,3,2,2,2,2,2,3,2,2,2,2,2,1,1,0,1,2,2,0,0,0,1,2,1,1,1,3,3,2,0,NaN,7,1,0,0,0,0,0,0,1,1,135,10,19,1,2.5,0.5,2.5,2012-02-02,732012-02-0210
